Title,URL,Price,Currency Code,Gender,Category,Store Name,Image URL,Saves
Secret Wash point-collar shirt in large gingham,http://www.jcrew.com/AST/Browse/MensBrowse/Men_Shop_By_Category/shirts/washedfavoriteshirts/PRDOVR~12445/12445.jsp,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/46838.jpg,20
Grey Herringbone Wool Tie,http://www.fineanddandyshop.com/grey-herringbone-wool-tie.html,,USD,male,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/98771.jpg,6
Grado SR60i Dynamic Open-Air Stereo Headphones SR 60I,http://www.bhphotovideo.com/c/product/607704-REG/Grado_SR_60I_SR60i_Dynamic_Open_Air_Stereo.html,,USD,neutral,tech,,https://s3.amazonaws.com/assets.svpply.com/large/98863.jpg,11
Mark D. Chou | Red Wing Gentleman Traveler in Cigar Featherstone ...,http://markdchou.tumblr.com/post/1480154740/red-wing-gentleman-traveler-in-cigar-featherstone,,USD,male,shoes,,https://s3.amazonaws.com/assets.svpply.com/large/128020.jpg,28
A.P.C. New Standard Jeans - American Rag ,http://www.farfetch.com/shopping/men/item10031541.aspx,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/255962.jpg,2
Levis Ghost Denim Trucker Jacket,http://www.urbanoutfitters.com/urban/catalog/productdetail.jsp?id=20574695&pushId=M_APP_OUTERWEAR&popId=M_OUTERWEAR&navCount=279&navAction=poppushpush&itemCount=80&itemdescription=true&parentid=M_APP_OUTERWEAR&startValue=1&sortProperties=+subCategoryPosit,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/303663.jpg,168
Button-down shirt in Kingsburg madras,http://www.jcrew.com/mens_feature/NewArrivals/shirts/PRDOVR~41353/41353.jsp,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/451765.jpg,1
Archival Clothing - Archival Clothing Rucksack,http://store.archivalclothing.com/products/rucksack,,USD,neutral,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/124707.jpg,2
Heathered button-down shirt in Faulkner plaid,http://www.jcrew.com/mens_feature/NewArrivals/shirts/PRDOVR~47331/47331.jsp,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/725107.jpg,27
Button-down shirt in plantation madras,http://www.jcrew.com/AST/Browse/MensBrowse/Men_Feature_Assortment/NewArrivals/shirts/PRDOVR~22796/22796.jsp,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/18574.jpg,177
Men's Printed Poplin Camp Shirt from Lands' End Canvas,http://canvas.landsend.com/pp/mens-printed-poplin-camp-shirt~237569_-1.html?bcc=y&action=order_more&sku;_0=::L43&CM_MERCH=IDX_men-_-shirts-&origin=index,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/1492262.jpg,45
Men's Large Plaid Poplin Shirt from Lands' End Canvas,http://canvas.landsend.com/pp/mens-large-plaid-poplin-shirt~224869_-1.html??cm_mmc=Affiliate-_-DEEPLINK-_-TXT-_-xxxx&af_id=linkshare,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/1628008.jpg,2
Button-down shirt in Kingsburg madras,http://www.jcrew.com/mens_feature/NewArrivals/shirts/PRDOVR~41353/41353.jsp,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/449207.jpg,36
Indigo Poplin Check Easy Fit Original Button Down - Shirts - Clothing - Men,http://us.gant.com/men/clothing/shirts/r1-indigo-poplin-check-e-z-obd,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/1653991.jpg,31
GANT - GANT RUGGER MOTORCYCLE POPLIN CHECK EASY FIT ORIGINAL BUTTON DOWN,http://us.gant.com/r-motorcycle-poplin-check-e-z-obd-2,,USD,male,apparel,,https://s3.amazonaws.com/assets.svpply.com/large/965170.jpg,71
Briefcase Computer Bag ,http://www.filson.com/products/briefcase-computer-bag.70257.html?fromCat=true&fvalsProduct=luggage/carry-on&fmetaProduct=1019,,USD,male,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/1478584.jpg,1
Simple,http://simple.com,,USD,neutral,tech,,https://s3.amazonaws.com/assets.svpply.com/large/1751043.jpg,172
Briefcase Computer Bag,http://www.filson.com/products/briefcase-computer-bag.70257.html?fromCat=true&fvalsProduct=luggage/briefcases&fmetaProduct=1019,,USD,neutral,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/112574.jpg,22
BookBook for iPhone ,http://twelvesouth.com/products/bookbook_iphone/,,USD,neutral,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/663676.jpg,6
Miansai Silver Hook Rope Bracelet at Park & Bond,http://www.parkandbond.com/product/85030507,,USD,male,accessories,,https://s3.amazonaws.com/assets.svpply.com/large/694090.jpg,12
